well_code,well_name,file_name,profile_file_name,log_date,depth_m,temperature_c,point_index,source_sample_count,sampled_point_count,sample_method,profile_point_role,public_product_role
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,181.97,-6.797,70,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,184.4,-6.74,71,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,186.84,-6.687,72,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,189.28,-6.64,73,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,191.72,-6.586,74,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,194.16,-6.526,75,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,196.6,-6.467,76,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,199.03,-6.408,77,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,201.47,-6.35,78,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,203.91,-6.293,79,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,206.35,-6.242,80,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,208.48,-6.203,81,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,210.92,-6.151,82,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,213.36,-6.087,83,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,215.8,-6.029,84,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,218.24,-5.979,85,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,220.68,-5.922,86,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,223.42,-5.849,87,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,225.86,-5.785,88,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,228.3,-5.72,89,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,230.73,-5.649,90,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,233.17,-5.573,91,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,235.61,-5.498,92,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
ATI,Atigaru Test Well #1,ATI_84AUG08a.txt,ATI_84AUG08a_c_d,08-AUG-1984,238.05,-5.425,93,1258,160,evenly_sampled_max_160_points,sampled_measured_g10015_profile_point,temperature_curve_visualization_only_not_stability_result
